id,user_id,retweet_count,reply_count,favorite_count,num_hashtags,num_urls,num_mentions,created_at,text
509354017856950272,327746321,0,0,0,0,0,0,2019-09-11 14:53:55,"If man is a little lower than angels, then angels should reform."
583002592529121280,333722906,1,0,0,0,0,1,2020-04-01 20:27:04,"""@BestWSHHVids: how do you say these words with a straight face?!
http://t.co/RWGMf3jwWy""

Purchasing"
461498835362013185,2379755827,0,0,0,0,0,1,2019-05-02 13:34:31,@LOLatComedy awsome
528808127366692864,466226882,0,0,0,0,0,0,2019-11-04 07:17:37,Stephen Hawkins: i buchi neri non esistono se si esclude il debito pubblico italiano.
575336690904006656,1355537995,114,0,0,1,0,1,2020-03-11 16:45:31,RT @tibbs_montris: So ready for Wednesday!
583448653542596609,2969210974,0,0,0,0,0,0,2020-04-03 01:59:33,Do screen protectors for the iPhone 6 Plus or just walk in the store and get the iPhone 6?
79540398988595200,67900288,0,0,0,0,0,0,2016-06-12 13:28:03,"Andy Murray look like he is in form an ready to lift trophy , wish you a best of luck Andy we are with you ."
344253939950182400,561508997,0,0,0,0,0,0,2018-06-13 00:45:09,"""Certi libri costituiscono un tesoro, un fondamento; letti una volta, vi serviranno per il resto della vita""."
335131564512006144,479896389,0,0,2,0,2,0,2018-05-18 20:36:06,Florida makes the top 10 for Innovation! http://t.co/9WYFpwIjds http://t.co/uX28Bw8QUc
424575175074385920,5812422,0,0,0,0,0,3,2019-01-20 16:13:04,"“@darrenrovell: Denver businesses keep taking shots at Brady http://t.co/ktavWc8VJB (via @nothreeputt, @TerezOwens)” PRICELESS!"
492967265063546880,2599346388,1,0,1,0,0,0,2019-07-28 09:38:49,Where df @Sassy_ileana at man. When she's awake my tl ain't dry
461616347726626818,2377477820,0,0,0,0,0,0,2019-05-02 21:21:28,"""I believe that every person is born with talent."" - Maya Angelou"
449744203149750273,52993590,0,0,4,0,0,0,2019-03-31 03:05:48,Lonesome Friday night
583561734377480192,3013481653,1,0,0,2,0,1,2020-04-03 09:28:54,I vote for #OneDirection #TheyreTheOne @radiodisney 89
569591652068651008,56477010,0,0,1,0,0,2,2020-02-24 20:16:47,@katietothemax omg @OvietheBulldog
422604156625780736,541142436,0,0,1,0,0,1,2019-01-15 05:40:57,@courtneyseib awesome see you then!!
577660322112143360,75941893,0,0,0,0,0,2,2020-03-18 02:38:47,@Travis_Irons @LILDANNY_06
479713069397213184,51625730,0,0,0,0,1,0,2019-06-21 19:51:23,http://t.co/d5PGje7TuZ
556759445964066816,438362574,0,0,0,0,0,0,2020-01-20 10:26:10,
579165123505479680,276234513,0,0,0,0,1,0,2020-03-22 06:18:20,Would you ever get a piercing? Where? — cartilage or nose stud cause Bran said it'd look nice http://t.co/WeLYSbdRzK
527203526410522624,531171209,0,0,0,0,0,0,2019-10-30 21:01:30,A successful man is one who can lay a firm foundation with the bricks others have thrown at him... David Brinkley
